started,started,started,2020-03-06 07:43:00
14,0.005070996835682515,0.004791287472471595,2020-03-06 08:07:49
15,0.005070696352049708,0.0049471676466055214,2020-03-06 08:07:51
16,0.005066354957191234,0.004977682197932154,2020-03-06 08:07:54
17,0.005066553284315036,0.004828460194403306,2020-03-06 08:07:57
18,0.005066291881553459,0.005040746822487563,2020-03-06 08:07:59
19,0.005064303484738719,0.004874377977102995,2020-03-06 08:08:02
20,0.005065777746907679,0.004966767388395965,2020-03-06 08:08:05
21,0.005064654958282485,0.004916228062938899,2020-03-06 08:08:08
22,0.005063490136295346,0.004994740360416472,2020-03-06 08:08:10
23,0.0050628593369842845,0.0049682715034577996,2020-03-06 08:08:13
24,0.005061546753405045,0.004898721934296191,2020-03-06 08:08:16
25,0.005062560798560685,0.0050543141551315784,2020-03-06 08:08:18
26,0.0050608146545999015,0.005013871821574867,2020-03-06 08:08:21
27,0.005060806145548081,0.004990504356101155,2020-03-06 08:08:24
28,0.005060904601536004,0.004822671908186749,2020-03-06 08:08:26
29,0.005060846750551821,0.004886995768174529,2020-03-06 08:08:29
30,0.005059494283578709,0.004880839784163982,2020-03-06 08:08:32
31,0.005059760823475977,0.0047836936137173325,2020-03-06 08:08:35
32,0.00505992519365399,0.0049887222703546286,2020-03-06 08:08:37
33,0.005057591253046131,0.004964055784512311,2020-03-06 08:08:40
34,0.005059468490566979,0.005078501766547561,2020-03-06 08:08:43
35,0.005057916730470586,0.004882148059550673,2020-03-06 08:08:45
36,0.005056638605826607,0.004888208000920713,2020-03-06 08:08:48
37,0.005056856101022121,0.004961157217621803,2020-03-06 08:08:51
38,0.005056487691938771,0.004923360160319135,2020-03-06 08:08:54
39,0.00505573804001489,0.004868992371484637,2020-03-06 08:08:56
40,0.005059232879165851,0.004908001457806677,2020-03-06 08:08:59
41,0.005057355109932469,0.004970680514816195,2020-03-06 08:09:02
42,0.005054896297791959,0.004823585273697972,2020-03-06 08:09:04
43,0.005057555743896052,0.005045465775765479,2020-03-06 08:09:07
44,0.005056262295362903,0.005084311094833538,2020-03-06 08:09:10
45,0.0050557510273412185,0.005053146043792367,2020-03-06 08:09:13
46,0.00505671128201305,0.0049064961494877934,2020-03-06 08:09:15
47,0.005056297386738848,0.004928969719912857,2020-03-06 08:09:18
48,0.005056354488041384,0.004931219562422484,2020-03-06 08:09:21
49,0.005057442457752025,0.0048092186625581235,2020-03-06 08:09:23
50,0.005057088196845659,0.005001992714824155,2020-03-06 08:09:26
51,0.0050562350426186274,0.004953231487888843,2020-03-06 08:09:29
52,0.00505688973101424,0.004891016287729144,2020-03-06 08:09:32
53,0.005057872912073706,0.004833618033444509,2020-03-06 08:09:34
54,0.005057055392494121,0.005059987539425492,2020-03-06 08:09:37
55,0.005055012665226633,0.004925939370878041,2020-03-06 08:09:40
56,0.0050582258172782385,0.0049967519589699805,2020-03-06 08:09:43
57,0.005055004342769583,0.004809134115930647,2020-03-06 08:09:45
58,0.005057352908774682,0.004900944419205189,2020-03-06 08:09:48
59,0.0050555098874507645,0.004802211711648852,2020-03-06 08:09:51
60,0.005055319420425287,0.005038128991145641,2020-03-06 08:09:53
61,0.005057624133356603,0.004835621599340811,2020-03-06 08:09:56
started,started,started,2020-03-06 08:12:24
started,started,started,2020-03-06 10:01:52
1,0.2392059648673691,0.0131486093159765,2020-03-06 10:01:55
2,0.0063142346941489486,0.005437302577774972,2020-03-06 10:01:57
3,0.005181554074115153,0.005536934011615813,2020-03-06 10:02:00
4,0.005152395166826586,0.0054548647603951395,2020-03-06 10:02:03
5,0.005135690390482439,0.0053904689848423,2020-03-06 10:02:06
6,0.005117281979108428,0.005358077411074191,2020-03-06 10:02:08
7,0.005098092982360552,0.005301613826304674,2020-03-06 10:02:11
8,0.005082016711697933,0.005313467932865024,2020-03-06 10:02:14
9,0.005069443759515036,0.005417566862888634,2020-03-06 10:02:17
10,0.005059770306783682,0.005334290792234242,2020-03-06 10:02:20
11,0.005052998361461763,0.005272494861856103,2020-03-06 10:02:23
12,0.0050531954996631285,0.005241348058916628,2020-03-06 10:02:26
13,0.005047625855456853,0.005273235496133566,2020-03-06 10:02:29
